31233,7a01,D,Leawood PW 3,Leawood Public Works 3,Public Works,Johnson County Ks: Leawood,1
31234,7a02,D,Leawood Code,Leawood Public Works -- Code Enforcement,Public Works,Johnson County Ks: Leawood,1
31235,7a03,D,LeawoodEvent,Leawood Public Works -- Special Events,Public Works,Johnson County Ks: Leawood,1
31236,7a04,D,LwoodPubSfty,Leawood Public Safety,Multi-Tac,Johnson County Ks: Leawood,1
31250,7a12,D,LenexaPD All,Lenexa Police -- Announce (All Call),Law Dispatch,Johnson County Ks: Lenexa,1
31251,7a13,D,Lenexa PD 1,Lenexa Police 1,Law Dispatch,Johnson County Ks: Lenexa,1
31252,7a14,E,Lenexa PD 2,Lenexa Police 2,Law Dispatch,Johnson County Ks: Lenexa,1
31253,7a15,E,LenexaPDTac1,Lenexa Police -- Tac 1,Law Tac,Johnson County Ks: Lenexa,1
31254,7a16,E,LenexaPDTac2,Lenexa Police -- Tac 2,Law Tac,Johnson County Ks: Lenexa,1
31255,7a17,E,LenexaPDSecr,Lenexa Police -- Secure,Law Tac,Johnson County Ks: Lenexa,1
31256,7a18,D,Lenexa PD PS,Lenexa Police -- Public Safety,Law Talk,Johnson County Ks: Lenexa,1
31257,7a19,D,Lenexa Emerg,Lenexa Emergency Management,Emergency Ops,Johnson County Ks: Lenexa,1
31280,7a30,D,LenexaFD All,Lenexa Fire -- Announce (All Call),Fire Dispatch,Johnson County Ks: Lenexa,1
31281,7a31,D,LenexaFD Adm,Lenexa Fire -- Administration,Fire-Talk,Johnson County Ks: Lenexa,1
31282,7a32,D,LenexaFD Trn,Lenexa Fire -- Training,Fire-Talk,Johnson County Ks: Lenexa,1
31283,7a33,D,Lenexa FD PS,Lenexa Fire -- Public Safety,Fire-Talk,Johnson County Ks: Lenexa,1
31284,7a34,D,Lenexa Commn,Lenexa Common,Multi-Tac,Johnson County Ks: Lenexa,1
31285,7a35,D,LenexaStreet,Lenexa Public Works -- Street Department,Public Works,Johnson County Ks: Lenexa,1
31286,7a36,D,Lenexa PW,Public Works,Public Works,Johnson County Ks: Lenexa,1
31287,7a37,D,Lenexa SrCtr,Senior Community Center Bus,Public Works,Johnson County Ks: Lenexa,1
31300,7a44,D,OlathePD All,Olathe Police -- Announce (All Call),Law Dispatch,Johnson County Ks: Olathe,1
31301,7a45,D,OlathePD SRO,Olathe Police -- SRO,Law Talk,Johnson County Ks: Olathe,1
31302,7a46,D,OlathePD Nar,Olathe Police -- Narcotics,Law Tac,Johnson County Ks: Olathe,1
31303,7a47,D,OlathePD Dis,Olathe Police -- Dispatch,Law Dispatch,Johnson County Ks: Olathe,1
31304,7a48,E,Olathe PD 2,Olathe Police 2 -- Encrypted,Law Tac,Johnson County Ks: Olathe,1
31305,7a49,E,Olathe PD 3,Olathe Police 3 -- Encrypted,Law Tac,Johnson County Ks: Olathe,1
31306,7a4a,E,OlathePDTac1,Olathe Police Tac 1,Law Tac,Johnson County Ks: Olathe,1
31307,7a4b,E,OlathePDTac2,Olathe Police Tac 2,Law Tac,Johnson County Ks: Olathe,1
31310,7a4e,D,OlathFD All,Olathe Fire -- Announce (All Call),Fire Dispatch,Johnson County Ks: Olathe,1
31311,7a4f,D,OlatheFD Dis,Olathe Fire Dispatch,Fire Dispatch,Johnson County Ks: Olathe,1
31312,7a50,D,Olathe FD,Olathe Fire,Fire-Tac,Johnson County Ks: Olathe,1
31313,7a51,D,Olathe FDTR1,OLATHE FIRE TRAINING 1,Fire-Tac,Johnson County Ks: Olathe,1
31314,7a52,D,Olathe FDTR2,OLATHE FIRE TRAINING 2,Fire-Tac,Johnson County Ks: Olathe,1
31316,7a54,D,Olathe Waste,Public Works - Solid Waste,Public Works,Johnson County Ks: Olathe,1
31317,7a55,D,Olathe Field,Public Works - Field Operations,Public Works,Johnson County Ks: Olathe,1
31318,7a56,D,Olathe Envir,Public Works - Environmental Service,Public Works,Johnson County Ks: Olathe,1
31319,7a57,D,Olathe Strat,Public Works - Strategic Services,Public Works,Johnson County Ks: Olathe,1
31326,7a5e,D,Olathe Trash,Residential Solid Waste,Public Works,Johnson County Ks: Olathe,1
31328,7a60,D,OL CMTY CNTR,COMMUNITY CENTER FRONT DESK,Public Works,Johnson County Ks: Olathe,1
31330,7a62,D,OlathSchlAll,Olathe Public Schools -- Announce (All Call),Schools,Johnson County Ks: Olathe Public Schools,1
31331,7a63,D,OlathSchl D2,Olathe Public Schools -- D 2,Schools,Johnson County Ks: Olathe Public Schools,1
31332,7a64,D,OlathSchl D1,Olathe Public Schools -- D 1,Schools,Johnson County Ks: Olathe Public Schools,1
31333,7a65,D,OlathSclSEC1,Olathe Public Schools -- SEC 1,Schools,Johnson County Ks: Olathe Public Schools,1
31334,7a66,D,OlathSclSEC2,Olathe Public Schools -- SEC 2,Schools,Johnson County Ks: Olathe Public Schools,1
31335,7a67,D,OlathSclSEC3,Olathe Public Schools -- SEC 3,Schools,Johnson County Ks: Olathe Public Schools,1
31336,7a68,D,OlathSclSEC4,Olathe Public Schools -- SEC 4,Schools,Johnson County Ks: Olathe Public Schools,1
31337,7a69,D,OlathSclActv,Olathe Public Schools -- Activities,Schools,Johnson County Ks: Olathe Public Schools,1
31338,7a6a,D,OlathSclSvc1,Olathe Public Schools -- Service Center 1,Schools,Johnson County Ks: Olathe Public Schools,1
31339,7a6b,D,OlathSclSvc2,Olathe Public Schools -- Service Center 2,Schools,Johnson County Ks: Olathe Public Schools,1
31340,7a6c,D,OlathSclSvc3,Olathe Public Schools -- Service Center 3,Schools,Johnson County Ks: Olathe Public Schools,1
31341,7a6d,D,OlathSclSvc4,Olathe Public Schools -- Service Center 4,Schools,Johnson County Ks: Olathe Public Schools,1
31342,7a6e,D,OlathSclCom1,Olathe Public Schools -- Common 1,Schools,Johnson County Ks: Olathe Public Schools,1
31343,7a6f,D,OlathSclCom2,Olathe Public Schools -- Common 2,Schools,Johnson County Ks: Olathe Public Schools,1
31344,7a70,D,OlathSclCom3,Olathe Public Schools -- Common 3,Schools,Johnson County Ks: Olathe Public Schools,1
31350,7a76,D,OvldPkPD All,Overland Park Police -- Announce (All Call),Law Dispatch,Johnson County Ks: Overland Park,1
31351,7a77,D,OvPkPDPRIMRY,Overland Park Police -- Primary Dispatch,Law Dispatch,Johnson County Ks: Overland Park,1
31352,7a78,E,OvldPkPDInfo,Overland Park Police -- Information,Law Talk,Johnson County Ks: Overland Park,1
31353,7a79,D,OvldPkPDScaf,Overland Park Police -- Myron E. Scafe Building,Law Dispatch,Johnson County Ks: Overland Park,1
31354,7a7a,E,OvldPkPD T/A,Overland Park Police -- Talk Around,Law Talk,Johnson County Ks: Overland Park,1
31355,7a7b,E,OvldPkPDTac1,Overland Park Police -- Tac 1,Law Talk,Johnson County Ks: Overland Park,1
